"station_id","location","province"
"217041","Qubed, Nathiagali","unknown"
"160484","Turlandi, Swabi","sindh"
"224681","D-12, Islamabad","unknown"
"160497","Satyana Road, Faisalabad","unknown"
"169631","Killi Harumzai, Pishin","balochistan"
"ILAHOR38","Hotel Nova Lahore","unknown"
"165743","Awan Town Lahore","unknown"
"165799","Data Darbaar Lahore","unknown"
"169682","Tareen Kor Shahrag","balochistan"
"169694","Harnai (Basti Sheikan)","balochistan"
"C13","Gagri Sihala","unknown"
"165897","Lahore DHA Phase 6","unknown"
"176678","Lakki Marwat Manzer Faqir","gb"
"176749","Tank City","gb"
"169767","Killi Khawasam, Mastung","balochistan"
"C14","Bharakahu","unknown"
"188154","Dc office Dadu","gb"
"188166","Johi","gb"
"163674","Abbottabad City","unknown"
"163691","Rian Da Maira Qalandarabad Abbottabad","unknown"
"163746","I-8/3 Islamabad","unknown"
"192287","SSUET Gulshan-e-Iqbal Karachi","balochistan"
"176854","Zarmilana South Waziristan","unknown"
"177200","Jab Valley Haripur District","kpk"
"169859","Khuzdar","balochistan"
"IPASRU1","Ramkey, Pasrur","unknown"
"161483","Mardan City","unknown"
"207397","Pir Sabaq Nowshera","gb"
"C20","Latamber Karak","unknown"
"163831","Kuza Bandai Mingora","gb"
"163843","Aboha Barikot","unknown"
"169947","Sahnri Dera Bugti","balochistan"
"172461","Mansehra Bypass","unknown"
"172475","Garlat Balakot","unknown"
"174619","Khanewal City","unknown"
"161580","Nasrat Khel Kohat","unknown"
"188331","DC office Nushki","kpk"
"188337","Levies Station, Ahmedwal","kpk"
"177303","Marghzar Mansehra","kpk"
"177310","Bakhla Cottage Battal","kpk"
"198090","SM Institute of Earth Sciences, Mang, Sudhnoti","gb"
"177389","Ouch Lower Dir","kpk"
"172577","Ziarat Masoom Galiyat","unknown"
"177408","Bampokha, Buner","kpk"
"C11","Kallar Sayedan","unknown"
"C15","Kirpa","unknown"
"186109","RRI, Kala Shah Kaku","unknown"
"228881","Terrace Grill, Murree","unknown"
"159738","Punjab Universtiy","unknown"
"163601","Kasuri Farms B, Dhillum","punjab"
"163333","Haripur City","punjab"
"158829","Bestway Cement Daud Khel","unknown"
"C21","Liaqatpur","unknown"
"164176","Qambar Shahdadkot","unknown"
"169205","PDMA Peshawar","unknown"
"C16","Buchal Kalan, Kallar Kahar","unknown"
"C17","Pir Mahal","unknown"
"160691","Haveli Lakha city","unknown"
"160700","Kamir Chak No 101/D, Pakpattan","unknown"
"170332","Khuda Bakhsh Gadani Village Mirpur mathelo","punjab"
"175132","Stud Farm Depalpur","punjab"
