station_id,station_name,location,category
217041,Qubed, Nathiagali,Qubed, Nathiagali,community
160484,Turlandi, Swabi,Turlandi, Swabi,corporate
224681,D-12, Islamabad,Islamabad,  Pakistan,community
160497,Satyana Road, Faisalabad,Satyana Road, Faisalabad,community
169631,Killi Harumzai, Pishin,Killi Harumzai, Pishin,corporate
ILAHOR38,Hotel Nova Lahore,Hotel Nova Lahore,wu
165743,Awan Town Lahore,Awan Town Lahore,community
165799,Data Darbaar Lahore,Data Darbaar Lahore,community
169682,Tareen Kor Shahrag,Tareen Kor Shahrag,corporate
169694,Harnai (Basti Sheikan),Harnai (Basti Sheikan),corporate
C13,Gagri Sihala,Gagri Sihala,community
165897,Lahore DHA Phase 6,Lahore DHA Phase 6,community
176678,Lakki Marwat Manzer Faqir,Lakki Marwat Manzer Faqir,community
176749,Tank City,Tank City,community
169767,Killi Khawasam, Mastung,KIlli Khusam, Mastung,corporate
C14,Bharakahu,Bharakahu,reference
188154,Dc office Dadu,Dc office Dadu,corporate
188166,Johi,Johi,corporate
163674,Abbottabad City,Abbottabad City,community
163691,Rian Da Maira Qalandarabad Abbottabad,Rian Da Maira Qalandarabad Abbottabad,community
163746,I-8/3 Islamabad,I-8/3 Islamabad,community
192287,SSUET Gulshan-e-Iqbal Karachi,SSUET Gulshan-e-Iqbal Karachi,corporate
176854,Zarmilana South Waziristan,Zarmilana South Waziristan,corporate
177200,Jab Valley Haripur District,Jab Valley Haripur District,community
169859,Khuzdar,Khuzdar,corporate
IPASRU1,Ramkey, Pasrur,Ramkey, Pasrur,wu
161483,Mardan City,Mardan City,community
207397,Pir Sabaq Nowshera,Pir Sabaq Nowshera,community
C20,Latamber Karak,Latamber Karak,community
163831,Kuza Bandai Mingora,Kuza Bandai Mingora,community
163843,Aboha Barikot,Aboha Barikot,community
169947,Sahnri Dera Bugti,Sahnri Dera Bugti,corporate
172461,Mansehra Bypass,Mansehra Bypass,reference
172475,Garlat Balakot,Garlat Balakot,reference
174619,Khanewal City,Khanewal City,community
161580,Nasrat Khel Kohat,Nasrat Khel Kohat,community
188331,DC office Nushki,DC office Nushki,corporate
188337,Levies Station, Ahmedwal,Levies Station, Ahmedwal,corporate
177303,Marghzar Mansehra,Marghzar Mansehra,reference
177310,Bakhla Cottage Battal,Bakhla Cottage Battal,reference
198090,SM Institute of Earth Sciences, Mang, Sudhnoti,SM Institute of Earth Sciences, Mang, Sudhnoti,corporate
177389,Ouch Lower Dir,Ouch Lower Dir,community
172577,Ziarat Masoom Galiyat,Ziarat Masoom Galiyat,community
177408,Bampokha, Buner,Bampokha, Buner,corporate
C11,Kallar Sayedan,Kallar Sayedan,community
C15,Kirpa,Kirpa,community
186109,RRI, Kala Shah Kaku,RRI, Kala Shah Kaku,corporate
1294980,HBL Nazim,Ahmad Farms, Dipalpur,corporate
159738,Punjab Universtiy,Punjab Universtiy,corporate
163601,Kasuri Farms B, Dhillum,Kasuri Farms B, Dhillum,corporate
163333,Haripur City,Haripur City,community
158829,Bestway Cement Daud Khel,Bestway Cement Daud Khel,corporate
C21,Liaqatpur,Liaqatpur,community
164176,Qambar Shahdadkot,Qambar Shahdadkot,corporate
169205,Peshawar,Peshawar,corporate
C16,Buchal Kalan, Kallar Kahar,Buchal Kalan, Kallar Kahar,community
C17,Pir Mahal,Pir Mahal,reference
160691,Haveli Lakha city,Haveli Lakha city,reference
160700,Kamir Chak No 101/D, Pakpattan,Kamir Chak No 101/D, Pakpattan,community
170332,Khuda Bakhsh Gadani Village Mirpur mathelo,Khuda Bakhsh Gadani Village Mirpur mathelo,community
175132,Stud Farm Depalpur,Stud Farm Depalpur,corporate
147761,Basti Nachung, Jalalpur Peerwala, WW,Basti Nachung, Jalalpur Peerwala, WW,community
147492,Khan Bela,Khan Bela,community
162057,Zahir Pir,Zahir Pir,community
162130,Vehari Comsats University,Vehari Comsats University,community
164315,Lillyandi Kajlio Sharif Chakwal,Lillyandi Kajlio Sharif Chakwal,community
164179,Naseerabad,Naseerabad,corporate
164181,Dera Allah Yar Jaffarabad,Dera Allah Yar Jaffarabad,corporate
170382,Moro,Moro,community
175222,Fort Abbas Agricultural Complex MFRO,Fort Abbas Agricultural Complex MFRO,corporate
C12,Kharian City,Kharian City,community
188822,Met Office, Dera Ismail Khan,Met Office, Dera Ismail Khan,corporate
188834,Paharpur,Paharpur,corporate
177683,Muzaffarabad Gulshan Colony,Muzaffarabad Gulshan Colony,community
170426,Baldia Town Karachi,Baldia Town Karachi,community
170433,Orangi Town Karachi,Orangi Town Karachi,community
175318,Garhi Yaseen,Garhi Yaseen,corporate
175407,Karoondi Town Khairpur Mirs,Karoondi Town Khairpur Mirs,reference
162345,Model Town Lahore,Model Town Lahore,community
162329,T&T Aabpara, Raiwind Road Lahore,T&T Aabpara, Raiwind Road Lahore,community
177740,Muzaffarabad, Miani Bandi,Muzaffarabad, Miani Bandi,community
177802,Khui Ratta,Khui Ratta,community
170462,Keemari Port Karachi,Keemari Port Karachi,community
170469,Jinnah Garden, Airport Karachi,Jinnah Garden, Airport Karachi,community
175416,Sanghar,Sanghar,community
202114,Januwala, Cholistan,Januwala, Cholistan,corporate
168681,Sialkot Quaid E Azam street, Hamza Ghaus,Sialkot Quaid E Azam street, Hamza Ghaus,community
170481,Tariq Bin Ziyad Society Karachi,Tariq Bin Ziyad Society Karachi,community
170556,Gadap Town, Karachi,Gadap Town, Karachi,corporate
162416,Baghbanpura Lahore,Baghbanpura Lahore,community
162474,Misri Shah Lahore,Misri Shah Lahore,community
C23,Sadhoke, Gt road,Sadhoke, Gt road,community
164594,TK Farms, Bandot Chakbeli Road,TK Farms, Bandot Chakbeli Road,corporate
164604,Chakri City,Chakri City,community
168729,Lodhran,Lodhran,community
170638,Iqra University  North Campus Karachi,Iqra University  North Campus Karachi,corporate
173079,Burj Lahore,Burj Lahore,corporate
173126,ARFU Chapu Cholistan,ARFU Chapu Cholistan,corporate
199831,Mehran University, Jamshoro,Mehran University, Jamshoro,corporate
199834,Mehran University, Khairpur Mirs,Mehran University, Khairpur Mirs,corporate
175472,Abdul Aziz Burghari Samaro,Abdul Aziz Burghari Samaro,community
175480,Khoski Agricultural Complex Khoski,Khoski Agricultural Complex Khoski,corporate
IPINDI7,Mianwala,Mianwala,wu
162498,Sohdra Wazirabad,Sohdra Wazirabad,reference
164690,Kot Sanduki Burhan,Kot Sanduki Burhan,community
191766,Renala Khurd,Renala Khurd,corporate
168734,Nawan Khoo, Kahror Pakka,Nawan Khoo, Kahror Pakka,community
170712,Daro, Sujawal,Daro, Sujawal,community
175682,Thul Jacobabad,Thul Jacobabad,community
166840,Qasuri Farms, DIkhan Bhakkar Road,Qasuri Farms, DIkhan Bhakkar Road,corporate
166842,Jhoke Fazal, Bhakkar,Jhoke Fazal, Bhakkar,community
168851,Govt (PST) graduate college, Kamalia,Govt (PST) graduate college, Kamalia,community
178269,Daharki,Daharki,corporate
170725,Tando Bhago, Badin,Tando Bhago, Badin,community
170765,Latifabad, Hyderabad,Latifabad, Hyderabad,community
175830,Aminabad,Aminabad,corporate
174057,Dadyal Azad Kashmir,Dadyal Azad Kashmir,community
162588,Sarsala Samahani,Sarsala Samahani,community
166865,Layyah City,Layyah City,community
166868,Kot Addu,Kot Addu,community
168865,Gojra,Gojra,community
175970,Fatima AG Solutions Peerowal,Fatima AG Solutions Peerowal,corporate
