WEATHER STATION DAILY REPORT
Generated: January 18, 2026 at 07:53 AM

SUMMARY
Total Stations: 284
Online: 173
Offline: 111
Uptime: 60.9%
Max Temperature: 19.3°C at Syed Zeeshan AWS
Max Rainfall: 1.0 mm at Mumtaz Haider

CATEGORY BREAKDOWN
Category,Online,Offline,Total,Uptime %
Corporate,0,0,0,0.0%
Community,173,111,284,60.9%
Reference,0,0,0,0.0%
Owner,0,0,0,0.0%
Wu,0,0,0,0.0%

SOURCE BREAKDOWN
Source,Online,Offline,Total,Uptime %
Davis,142,62,204,69.6%
Misol,18,5,23,78.3%
WU,1,43,44,2.3%

STATION DETAILS
Station ID,Station Name,Source,Status,Category,Temperature (°C),Rainfall (mm),Uptime 24h (%),Last Seen
217041,"Qubed AWS",Davis,Active,community,2.5,0,100.0,
160484,"Salman Shahid AWS",Davis,Inactive,community,,0,0.0,
224681,"Junaid AWS",Davis,Active,community,7.3,0,100.0,
160497,"Muhammad Bilal AWS",Davis,Active,community,9.9,0,100.0,
169631,"Yasir AWS",Davis,Active,community,-0.6,0,100.0,
ILAHOR38,"Hotel Nova AWS",WU,Disabled,community,,,0.0,
165743,"Awan Town AWS",Davis,Active,community,8.9,0.2,100.0,
165799,"Data Darbar AWS",Davis,Active,community,9.6,0.2,100.0,
169682,"Tahir AWS",Davis,Inactive,community,,0,34.6,
169694,"Feroz Khan AWS",Davis,Inactive,community,,0,92.3,
C13,"Abdul Mannan Sihala AWS",Misol,Active,community,2.7,,100.0,
165897,"DHA Phase 6 AWS",Davis,Active,community,5.1,0.2,100.0,
176678,"Barkat Shah AWS",Davis,Inactive,community,,0,0.0,
176749,"Shamsher Wazirgai AWS",Davis,Active,community,10.6,0,61.5,
169767,"Muhammad Aamir AWS",Davis,Active,community,0.8,0,92.3,
C14,"Chaudhry Umar AWS",Misol,Active,community,7.4,,100.0,
188154,"WFP aws",Davis,Active,community,11.2,0,100.0,
188166,"WFP aws",Davis,Inactive,community,,0,0.0,
163674,"Tafheem AWS",Davis,Active,community,2.8,0,100.0,
163691,"Qamar Hassan AWS",Davis,Active,community,6.6,0,100.0,
163746,"T. Hussain",Davis,Active,community,5.2,0,100.0,
192287,"SSUET Main Campus",Davis,Inactive,community,,0,0.0,
176854,"Zarmilana AWS",Davis,Inactive,community,,0,72.0,
177200,"Muhammad Amir Shehzad AWS",Davis,Active,community,5.2,0,100.0,
169859,"Qadeer Baloshi AWS",Davis,Active,community,6.4,0,36.0,
IPASRU1,"Ramkey, Pasrur AWS",WU,Disabled,community,,,0.0,
161483,"Fayaz AWS",Davis,Active,community,4.7,0,100.0,
207397,"Saeed Anwar AWS",Davis,Active,community,4.3,0,80.0,
C20,"Mushtaq Ahmed AWS",Misol,Inactive,community,,,0.0,
163831,"Nasar Khan AWS",Davis,Active,community,4.6,0,100.0,
163843,"Karam Khan AWS",Davis,Active,community,5.8,0,100.0,
169947,"Qadir Baloch AWS",Davis,Inactive,community,,0,64.0,
172461,"Mubashar Ahsan AWS",Davis,Active,community,4.5,0,96.0,
172475,"Aehtesham AWS",Davis,Disabled,community,,0,0.0,
174619,"Ali Paracha AWS",Davis,Inactive,community,,0,64.0,
161580,"Abdul Wajid AWS",Davis,Inactive,community,,0.6,0.0,
188331,"WFP aws",Davis,Active,community,6.4,0,100.0,
188337,"WFP Aws",Davis,Inactive,community,,0,0.0,
177303,"Aetesham AWS",Davis,Active,community,7.7,0,100.0,
177310,"aetesham AWS",Davis,Active,community,3.8,0,91.7,
198090,"SM Institute of Earth Sciences AWS",Davis,Inactive,community,,0,75.0,
177389,"Fawad Khan AWS",Davis,Active,community,4.9,0,100.0,
172577,"Sajid Ali AWS",Davis,Active,community,6.1,0,100.0,
177408,"Amir AWS",Davis,Inactive,community,,0,0.0,
C11,"Nouman Malik AWS",Misol,Disabled,community,,,0.0,
C15,"Raja Abdullah AWS",Misol,Active,community,7.8,,100.0,
