Station ID,Station POI,Source,Latitude,Longitude,Status
"217041","Qubed, Nathiagali","Davis",34.07027,73.39315,"Active"
"160484","Turlandi, Swabi","Davis",34.19565,72.34412,"Inactive"
"224681","D-12, Islamabad","Davis",33.7065,72.95661,"Active"
"160497","Satyana Road, Faisalabad","Davis",31.39117,73.1209,"Active"
"169631","Killi Harumzai, Pishin","Davis",30.722281,66.837053,"Inactive"
"ILAHOR38","Hotel Nova Lahore","WU",31.47,74.26,"Disabled"
"165743","Awan Town Lahore","Davis",31.50317,74.26176,"Active"
"165799","Data Darbaar Lahore","Davis",31.5835127,74.303211,"Active"
"169682","Tareen Kor Shahrag","Davis",30.1903686,67.709238,"Active"
"169694","Harnai (Basti Sheikan)","Davis",30.08928,67.95463,"Active"
"C13","Gagri Sihala","Misol",33.552692,73.182129,"Active"
"165897","Lahore DHA Phase 6","Davis",31.480249,74.469788,"Active"
"176678","Lakki Marwat Manzer Faqir","Davis",32.665701,70.689524,"Inactive"
"176749","Tank City","Davis",32.21124,70.38847,"Inactive"
"169767","Killi Khawasam, Mastung","Davis",29.804695,66.856544,"Active"
"C14","Bharakahu","Misol",33.749776,73.19009,"Active"
"188154","Dc office Dadu","Davis",26.73587,67.77673,"Active"
"188166","Johi","Davis",26.68904,67.61215,"Active"
"163674","Abbottabad City","Davis",34.16853,73.22342,"Active"
"163691","Rian Da Maira Qalandarabad Abbottabad","Davis",34.25018,73.23581,"Active"
"163746","I-8/3 Islamabad","Davis",33.67521,73.07646,"Active"
"192287","SSUET Gulshan-e-Iqbal Karachi","Davis",24.9158,67.09218,"Active"
"176854","Zarmilana South Waziristan","Davis",31.93843,69.34076,"Inactive"
"177200","Jab Valley Haripur District","Davis",33.870189,72.990399,"Active"
"169859","Khuzdar","Davis",27.817362,66.61792,"Inactive"
"IPASRU1","Ramkey, Pasrur","WU",32.3,74.66,"Disabled"
"161483","Mardan City","Davis",34.15713,72.03913,"Active"
"207397","Pir Sabaq Nowshera","Davis",34.02033,72.03335,"Active"
"C20","Latamber Karak","Misol",33.10979,70.86425,"Inactive"
"163831","Kuza Bandai Mingora","Davis",34.81747,72.36716,"Active"
"163843","Aboha Barikot","Davis",34.6612,72.18526,"Active"
"169947","Sahnri Dera Bugti","Davis",29.023647,69.155685,"Inactive"
"172461","Mansehra Bypass","Davis",34.32576,73.21591,"Active"
"172475","Garlat Balakot","Davis",34.54266,73.3558,"Disabled"
"174619","Khanewal City","Davis",30.29119,71.92276,"Inactive"
"161580","Nasrat Khel Kohat","Davis",33.59746,71.34699,"Inactive"
"188331","DC office Nushki","Davis",29.55318,66.0146,"Active"
"188337","Levies Station, Ahmedwal","Davis",29.3923,65.93493,"Inactive"
"177303","Marghzar Mansehra","Davis",34.41742,73.23809,"Active"
"177310","Bakhla Cottage Battal","Davis",34.58587,73.13866,"Active"
"198090","SM Institute of Earth Sciences, Mang, Sudhnoti","Davis",33.80759,73.63794,"Active"
"177389","Ouch Lower Dir","Davis",34.72917,72.01924,"Active"
"172577","Ziarat Masoom Galiyat","Davis",33.98618,73.34228,"Active"
"177408","Bampokha, Buner","Davis",34.51312,72.2881,"Inactive"
"C11","Kallar Sayedan","Misol",33.430962,73.380483,"Disabled"
"C15","Kirpa","Misol",33.62103,73.23143,"Active"
"186109","RRI, Kala Shah Kaku","Davis",31.72126,74.26998,"Active"
"228881","Terrace Grill, Murree","Davis",33.91464,73.40499,"Active"
"159738","Punjab Universtiy","Davis",31.49417,74.2928,"Inactive"
"163601","Kasuri Farms B, Dhillum","Davis",31.05926,74.19255,"Inactive"
"163333","Haripur City","Davis",33.99244,72.91654,"Active"
"158829","Bestway Cement Daud Khel","Davis",32.8288,71.60012,"Active"
"C21","Liaqatpur","Misol",28.961384,71.025146,"Active"
"164176","Qambar Shahdadkot","Davis",27.5895,68.02445,"Disabled"
"169205","PDMA Peshawar","Davis",33.99241,71.43404,"Active"
"C16","Buchal Kalan, Kallar Kahar","Misol",32.67921,72.6358298,"Active"
"C17","Pir Mahal","Misol",30.78519,72.42489,"Active"
"160691","Haveli Lakha city","Davis",30.45199,73.69708,"Active"
"160700","Kamir Chak No 101/D, Pakpattan","Davis",30.4648,73.12502,"Active"
"170332","Khuda Bakhsh Gadani Village Mirpur mathelo","Davis",27.97847,69.566758,"Inactive"
"175132","Stud Farm Depalpur","Davis",30.56208,73.52944,"Inactive"
"147761","Basti Nachung, Jalalpur Peerwala, WW","Davis",29.50814,71.0663,"Active"
"147492","Khan Bela","Davis",28.96047,70.74071,"Active"
"162057","Zahir Pir","Davis",28.81894,70.52556,"Active"
"162130","Vehari Comsats University","Davis",30.032343,72.31468,"Active"
"164315","Lillyandi Kajlio Sharif Chakwal","Davis",32.957194,73.076222,"Active"
"164179","Naseerabad","Davis",28.20195,67.90852,"Active"
"164181","Dera Allah Yar Jaffarabad","Davis",28.3729,68.34486,"Active"
"170382","Moro","Davis",26.66323,68.0025,"Active"
