station_id,location,province
217041,"Qubed, Nathiagali",KPK
160484,"Turlandi, Swabi",KPK
224681,"D-12, Islamabad",Islamabad
160497,"Satyana Road, Faisalabad",Punjab
169631,"Killi Harumzai, Pishin",Balochistan
ILAHOR38,Hotel Nova Lahore,Punjab
165743,Awan Town Lahore,Punjab
165799,Data Darbaar Lahore,Punjab
169682,Tareen Kor Shahrag,Balochistan
169694,Harnai (Basti Sheikan),Balochistan
C13,Gagri Sihala,Punjab
165897,Lahore DHA Phase 6,Punjab
176678,Lakki Marwat Manzer Faqir,KPK
176749,Tank City,KPK
169767,"Killi Khawasam, Mastung",Balochistan
C14,Bharakahu,Punjab
188154,Dc office Dadu,Sindh
188166,Johi,Sindh
163674,Abbottabad City,KPK
163691,Rian Da Maira Qalandarabad Abbottabad,KPK
163746,I-8/3 Islamabad,Islamabad
192287,SSUET Gulshan-e-Iqbal Karachi,Sindh
176854,Zarmilana South Waziristan,KPK
177200,Jab Valley Haripur District,KPK
169859,Khuzdar,Balochistan
IPASRU1,"Ramkey, Pasrur",Punjab
161483,Mardan City,KPK
207397,Pir Sabaq Nowshera,KPK
C20,Latamber Karak,KPK
163831,Kuza Bandai Mingora,KPK
163843,Aboha Barikot,KPK
169947,Sahnri Dera Bugti,Balochistan
172461,Mansehra Bypass,KPK
172475,Garlat Balakot,KPK
174619,Khanewal City,Punjab
161580,Nasrat Khel Kohat,KPK
188331,DC office Nushki,Balochistan
188337,"Levies Station, Ahmedwal",Balochistan
177303,Marghzar Mansehra,KPK
177310,Bakhla Cottage Battal,KPK
198090,"SM Institute of Earth Sciences, Mang, Sudhnoti",AJK
177389,Ouch Lower Dir,KPK
172577,Ziarat Masoom Galiyat,KPK
177408,"Bampokha, Buner",KPK
C11,Kallar Sayedan,Punjab
C15,Kirpa,Punjab
186109,"RRI, Kala Shah Kaku",Punjab
228881,"Terrace Grill, Murree",Punjab
159738,Punjab Universtiy,Punjab
163601,"Kasuri Farms B, Dhillum",Punjab
163333,Haripur City,KPK
158829,Bestway Cement Daud Khel,Punjab
C21,Liaqatpur,Punjab
164176,Qambar Shahdadkot,Sindh
169205,PDMA Peshawar,KPK
C16,"Buchal Kalan, Kallar Kahar",Punjab
C17,Pir Mahal,Punjab
160691,Haveli Lakha city,Punjab
160700,"Kamir Chak No 101/D, Pakpattan",Punjab
170332,Khuda Bakhsh Gadani Village Mirpur mathelo,Sindh
175132,Stud Farm Depalpur,Punjab
147761,"Basti Nachung, Jalalpur Peerwala, WW",Punjab
147492,Khan Bela,Punjab
162057,Zahir Pir,Punjab
162130,Vehari Comsats University,Punjab
164315,Lillyandi Kajlio Sharif Chakwal,Punjab
164179,Naseerabad,Balochistan
164181,Dera Allah Yar Jaffarabad,Balochistan
170382,Moro,Sindh
175222,Fort Abbas Agricultural Complex MFRO,Punjab
C12,Kharian City,Punjab
188822,"Met Office, Dera Ismail Khan",KPK
188834,Paharpur,KPK
177683,Muzaffarabad Gulshan Colony,AJK
170426,Baldia Town Karachi,Sindh
170433,Orangi Town Karachi,Sindh
175318,Garhi Yaseen,Sindh
175407,Karoondi Town Khairpur Mirs,Sindh
162345,Model Town Lahore,Punjab
162329,"T&T Aabpara, Raiwind Road Lahore",Punjab
177740,"Muzaffarabad, Miani Bandi",AJK
177802,Khui Ratta,AJK
170462,Keemari Port Karachi,Sindh
170469,"Jinnah Garden, Airport Karachi",Sindh
175416,Sanghar,Sindh
202114,"Januwala, Cholistan",Punjab
168681,"Sialkot Quaid E Azam street, Hamza Ghaus",Punjab
170481,Tariq Bin Ziyad Society Karachi,Sindh
170556,"Gadap Town, Karachi",Sindh
162416,Baghbanpura Lahore,Punjab
162474,Misri Shah Lahore,Punjab
C23,"Sadhoke, Gt road",Punjab
164594,"TK Farms, Bandot Chakbeli Road",Punjab
164604,Chakri City,Punjab
168729,Lodhran,Punjab
170638,Iqra University  North Campus Karachi,Sindh
